d13C,d15N,species,species2,Ecopath_Group,Functional_Group,source,note
-17.12,12.89,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.11,13.8,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.52,13.3,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.27,13.78,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.74,14.1,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.39,14.24,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.42,13.82,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.43,13.86,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.12,14.16,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.2,13.29,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.04,13.64,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.63,15.76,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-19.39,14.2,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-19.22,14.01,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.99,13.7,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-14.04,8.73,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.4,12.63,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.14,12.23,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.16,13.69,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.39,13.15,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.5,10.71,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-17.04,13.75,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-18.7,14.03,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-17.06,12.87,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.98,14.62,Weakfish (PelagicFish),Weakfish,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-16.96,14.58,Weakfish (PelagicFish),Weakfish,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-17.66,14.31,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.31,14.27,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-14.79,11.54,Spot (BenthicFish),Spot,Spot,Spot,direct measurement,
-20.34,13.72,Spot (BenthicFish),Spot,Spot,Spot,direct measurement,
-17.99,15.03,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.42,14.79,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.09,14.35,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.04,14.82,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-19.57,14.31,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.33,14.74,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.62,14.63,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.35,14.76,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.64,14.81,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18,14.94,Anchovy (PelagicFish),Anchovies,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.84,13.52,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.4,13.02,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.14,14.1,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.97,13.93,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.17,13.68,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.53,13.84,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.92,12.51,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.82,14.53,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.43,14.86,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-18.09,13.89,Silverside (PelagicFish),Silversides,Silverside,Silverside,direct measurement,
-17.73,14.5,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-17.47,13.8,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-17.65,14.47,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-17.58,13.98,Silver Perch (PelagicFish),Silver Perch,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-18.27,14.18,Pigfish (PelagicFish),Pigfish,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-17.61,14.37,Pigfish (PelagicFish),Pigfish,Anchovy and Juvenile Fishes,AnchovyJuv,direct measurement,
-19.56,14.28,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.64,13.12,Spot (BenthicFish),Spot,Spot,Spot,direct measurement,
-16.69,14.34,Spot (BenthicFish),Spot,Spot,Spot,direct measurement,
-16.23,13.23,Spot (BenthicFish),Spot,Spot,Spot,direct measurement,
-15.05,13.46,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-12.1,8.11,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-14.39,12.94,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-14.94,13.14,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-15.12,13.62,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-16.32,14.43,Striped Killifish (BenthicFish),Striped Killifish,Fundulus,Fundulus,direct measurement,
-15.66,11.98,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-16.49,12.65,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
-12.73,11.39,Mummichog (BenthicFish),Mummichog,Fundulus,Fundulus,direct measurement,
