d13C,d15N,Functional_Group,source,note
-17.12,12.89,Silverside,direct measurement,
-18.11,13.8,Silverside,direct measurement,
-17.52,13.3,Silverside,direct measurement,
-18.27,13.78,Silverside,direct measurement,
-17.74,14.1,Silverside,direct measurement,
-17.39,14.24,Silverside,direct measurement,
-18.42,13.82,Silverside,direct measurement,
-17.43,13.86,Silverside,direct measurement,
-18.12,14.16,Silverside,direct measurement,
-17.2,13.29,Silverside,direct measurement,
-17.04,13.64,Silverside,direct measurement,
-17.63,15.76,AnchovyJuv,direct measurement,
-19.39,14.2,AnchovyJuv,direct measurement,
-19.22,14.01,AnchovyJuv,direct measurement,
-18.99,13.7,AnchovyJuv,direct measurement,
-14.04,8.73,Fundulus,direct measurement,
-16.4,12.63,Fundulus,direct measurement,
-16.14,12.23,Fundulus,direct measurement,
-16.16,13.69,Fundulus,direct measurement,
-16.39,13.15,Fundulus,direct measurement,
-16.5,10.71,Fundulus,direct measurement,
-17.04,13.75,Fundulus,direct measurement,
-18.7,14.03,Fundulus,direct measurement,
-17.06,12.87,Fundulus,direct measurement,
-16.98,14.62,AnchovyJuv,direct measurement,
-16.96,14.58,AnchovyJuv,direct measurement,
-17.66,14.31,AnchovyJuv,direct measurement,
-18.31,14.27,AnchovyJuv,direct measurement,
-14.79,11.54,Spot,direct measurement,
-20.34,13.72,Spot,direct measurement,
-17.99,15.03,AnchovyJuv,direct measurement,
-18.42,14.79,AnchovyJuv,direct measurement,
-18.09,14.35,AnchovyJuv,direct measurement,
-18.04,14.82,AnchovyJuv,direct measurement,
-19.57,14.31,AnchovyJuv,direct measurement,
-18.33,14.74,AnchovyJuv,direct measurement,
-18.62,14.63,AnchovyJuv,direct measurement,
-18.35,14.76,AnchovyJuv,direct measurement,
-18.64,14.81,AnchovyJuv,direct measurement,
-18,14.94,AnchovyJuv,direct measurement,
-18.84,13.52,Silverside,direct measurement,
-17.4,13.02,Silverside,direct measurement,
-17.14,14.1,Silverside,direct measurement,
-17.97,13.93,Silverside,direct measurement,
-18.17,13.68,Silverside,direct measurement,
-18.53,13.84,Silverside,direct measurement,
-17.92,12.51,Silverside,direct measurement,
-18.82,14.53,Silverside,direct measurement,
-17.43,14.86,Silverside,direct measurement,
-18.09,13.89,Silverside,direct measurement,
-17.73,14.5,AnchovyJuv,direct measurement,
-17.47,13.8,AnchovyJuv,direct measurement,
-17.65,14.47,AnchovyJuv,direct measurement,
-17.58,13.98,AnchovyJuv,direct measurement,
-18.27,14.18,AnchovyJuv,direct measurement,
-17.61,14.37,AnchovyJuv,direct measurement,
-19.56,14.28,Fundulus,direct measurement,
-16.64,13.12,Spot,direct measurement,
-16.69,14.34,Spot,direct measurement,
-16.23,13.23,Spot,direct measurement,
-15.05,13.46,Fundulus,direct measurement,
-12.1,8.11,Fundulus,direct measurement,
-14.39,12.94,Fundulus,direct measurement,
-14.94,13.14,Fundulus,direct measurement,
-15.12,13.62,Fundulus,direct measurement,
-16.32,14.43,Fundulus,direct measurement,
-15.66,11.98,Fundulus,direct measurement,
-16.49,12.65,Fundulus,direct measurement,
-12.73,11.39,Fundulus,direct measurement,
-15.92,12.44,Fundulus,direct measurement,
-16.6,13.09,Fundulus,direct measurement,
-14.93,12.67,Fundulus,direct measurement,
-15.26,14.65,Fundulus,direct measurement,
-16.76,13.42,Fundulus,direct measurement,
-16.02,13,Fundulus,direct measurement,
-16.28,9.58,BenthicInverts,direct measurement,
-15.39,8.98,BenthicInverts,direct measurement,
-14.91,8.79,BenthicInverts,direct measurement,
-16.79,10.98,BenthicInverts,direct measurement,
-14.98,8.21,BenthicInverts,direct measurement,
-16.86,9.39,BenthicInverts,direct measurement,
-15.36,9.39,BenthicInverts,direct measurement,
-15.9,6.75,BenthicInverts,direct measurement,
-16.14,7.5,BenthicInverts,direct measurement,
-16.01,8.84,BenthicInverts,direct measurement,
-16.09,11.7,BenthicInverts,direct measurement,
-16.38,11.82,BenthicInverts,direct measurement,
-18.37,12.79,BenthicInverts,direct measurement,
-15.07,10.11,BenthicInverts,direct measurement,
-16.34,10.67,BenthicInverts,direct measurement,
-17.34,11.76,BenthicInverts,direct measurement,
-16.29,14.05,BenthicInverts,direct measurement,
-17.26,14,BenthicInverts,direct measurement,
-15.48,10.22,BenthicInverts,direct measurement,
-15.52,11.46,BlueCrab,direct measurement,
-15.87,13.31,BlueCrab,direct measurement,
-16.98,12.7,BlueCrab,direct measurement,
-16.96,13.1,BlueCrab,direct measurement,
-16.76,13.05,BlueCrab,direct measurement,
-15.78,12.78,BlueCrab,direct measurement,
-15.44,14.04,BlueCrab,direct measurement,
-16.84,12.47,BlueCrab,direct measurement,
-15.96,13.57,BlueCrab,direct measurement,
-16.05,9.09,BenthicInverts,direct measurement,
-16.1,9.55,BenthicInverts,direct measurement,
-15.66,11.94,BenthicInverts,direct measurement,
-16.26,11.23,BenthicInverts,direct measurement,
-16.17,10.57,BenthicInverts,direct measurement,
-15.58,11.86,MudSnail,direct measurement,
-13.79,13.2,MudSnail,direct measurement,
-13.64,13.63,MudSnail,direct measurement,
-14.26,11.77,MudSnail,direct measurement,
-14.11,12.96,MudSnail,direct measurement,
-13.71,13.4,MudSnail,direct measurement,
-14.05,12.48,MudSnail,direct measurement,
-15.23,12.41,MudSnail,direct measurement,
-14.01,12.8,MudSnail,direct measurement,
-13.81,12.62,MudSnail,direct measurement,
-18.98,10.7,Oyster,direct measurement,muscle tissue
-19.05,10.44,Oyster,direct measurement,muscle tissue
-19.74,11.02,Oyster,direct measurement,muscle tissue
-19.44,10.05,Oyster,direct measurement,muscle tissue
-18.84,10.35,Oyster,direct measurement,muscle tissue
-19.28,10.35,Oyster,direct measurement,muscle tissue
-18.96,10.46,Oyster,direct measurement,muscle tissue
-18.88,10.25,Oyster,direct measurement,muscle tissue
-19.38,7.3,Phytoplankton,assumed,1 step down from oyster
-19.45,7.04,Phytoplankton,assumed,1 step down from oyster
-20.14,7.62,Phytoplankton,assumed,1 step down from oyster
-19.84,6.65,Phytoplankton,assumed,1 step down from oyster
-19.24,6.95,Phytoplankton,assumed,1 step down from oyster
-19.68,6.95,Phytoplankton,assumed,1 step down from oyster
-19.36,7.06,Phytoplankton,assumed,1 step down from oyster
-19.28,6.85,Phytoplankton,assumed,1 step down from oyster
-18.39,11.63,Zooplankton,assumed,1 step down from anchovy
-18.82,11.39,Zooplankton,assumed,1 step down from anchovy
-18.49,10.95,Zooplankton,assumed,1 step down from anchovy
-18.44,11.42,Zooplankton,assumed,1 step down from anchovy
-19.97,10.91,Zooplankton,assumed,1 step down from anchovy
-18.73,11.34,Zooplankton,assumed,1 step down from anchovy
-19.02,11.23,Zooplankton,assumed,1 step down from anchovy
-18.75,11.36,Zooplankton,assumed,1 step down from anchovy
-19.04,11.41,Zooplankton,assumed,1 step down from anchovy
-18.4,11.54,Zooplankton,assumed,1 step down from anchovy
-19.24,10.12,Zooplankton,assumed,1 step down from anchovy
-17.8,9.62,Zooplankton,assumed,1 step down from anchovy
-17.54,10.7,Zooplankton,assumed,1 step down from anchovy
-19,10.53,Zooplankton,assumed,1 step down from anchovy
-9.33,11.63,Ulva,direct measurement,
-11.36,10.79,Ulva,direct measurement,
-9.81,11.52,Ulva,direct measurement,
-11.93,9.04,Ulva,direct measurement,
-13.02,9.09,Ulva,direct measurement,
-13,9.27,Ulva,direct measurement,
-18.99,10.68,BenthicAlg,direct measurement,
-18.86,11.04,BenthicAlg,direct measurement,
-19,11.08,BenthicAlg,direct measurement,
-19.67,12.6,BenthicAlg,direct measurement,
-19.45,12.38,BenthicAlg,direct measurement,
-18.98,12.7,BenthicAlg,direct measurement,
-18.3,3.4,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-17,4.6,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-15.7,5.8,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-14.4,7,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
-13.1,8.2,Detritus,Fantle et al. 1999,5 numbers that result in the mean and sd from this study (raw data not available)
